,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2020-12-15,17.57,17.57,16.92,16.88,18.95,20.39,22.31,24.59,31.41,31.49,31.62,30.52,35.9,38.1,40.08,43.08,37.32,51.13,47.54,40.77,35.2,28.45,23.67,21.86
2020-12-16,20.48,19.32,19.0,19.02,20.19,21.98,22.71,32.71,48.37,43.68,42.01,37.92,36.56,36.42,39.16,46.54,46.4,39.41,35.78,24.74,22.78,22.15,21.48,20.12
2020-12-17,19.03,17.93,17.53,17.28,17.97,20.0,22.09,23.64,26.79,25.28,24.43,24.3,23.67,23.99,23.97,25.06,25.38,26.07,24.22,23.16,22.19,21.97,20.76,18.99
2020-12-18,16.96,16.65,16.17,16.3,17.3,19.39,19.99,22.43,23.74,23.96,22.82,22.5,22.44,22.23,22.42,22.91,23.11,23.83,22.59,21.01,19.43,19.04,17.82,15.92
2020-12-19,16.48,15.98,15.47,15.31,15.3,15.52,15.87,15.92,16.48,17.01,17.36,17.47,17.27,17.29,17.33,17.54,17.96,18.39,17.77,17.03,15.92,15.69,15.22,13.65
2020-12-20,13.0,12.04,11.79,11.65,11.79,11.98,12.53,12.7,13.25,14.28,15.37,15.94,15.83,15.37,15.98,16.84,17.09,17.29,17.06,16.3,15.32,15.23,14.65,13.02
2020-12-21,11.9,11.2,11.5,11.73,12.81,14.37,16.67,19.74,20.6,19.92,19.32,19.39,19.44,19.2,19.45,20.65,20.55,20.35,19.49,18.03,16.17,14.47,13.18,8.66
2020-12-22,7.15,5.51,4.77,4.44,4.84,7.73,12.82,15.97,17.87,18.0,18.09,18.01,18.01,17.57,18.08,18.62,19.67,19.87,19.79,18.01,16.88,16.05,15.05,13.71
2020-12-23,13.38,13.1,12.9,12.93,13.14,14.72,15.99,18.59,19.21,19.51,18.97,19.33,19.55,19.4,19.66,19.96,20.56,21.79,20.77,18.95,17.82,16.94,16.16,15.07
2020-12-24,13.44,12.19,10.57,9.44,9.1,10.74,11.36,13.31,16.01,17.78,18.14,18.0,18.07,17.48,17.35,17.64,18.2,17.55,15.9,14.35,14.49,14.47,14.52,13.94
2020-12-25,14.95,14.96,13.97,12.57,12.9,13.5,13.12,14.75,16.82,18.05,18.47,19.4,19.92,20.1,20.99,22.32,22.57,22.7,22.56,22.05,20.77,20.29,19.34,17.63
2020-12-26,19.69,18.46,17.97,16.94,15.57,15.8,16.02,19.22,19.52,20.06,20.81,20.89,20.71,19.17,17.72,17.99,18.94,18.08,16.72,14.38,11.98,11.26,9.43,5.87
2020-12-27,4.71,2.37,1.49,0.96,0.95,1.26,1.02,1.57,2.64,3.99,5.74,7.15,5.95,5.65,6.08,7.91,8.92,9.62,10.33,9.45,8.83,9.49,10.31,7.87
2020-12-28,6.23,4.94,6.73,8.63,10.51,13.7,15.18,17.48,18.83,19.44,19.51,19.81,20.0,19.91,20.01,20.1,20.54,20.63,20.2,19.92,18.87,18.87,17.4,16.59
2020-12-29,18.02,17.97,17.67,17.65,18.0,18.39,19.96,20.93,22.86,23.09,22.8,23.07,23.1,23.07,23.12,23.63,23.82,23.77,23.31,22.61,20.76,20.49,19.01,17.89
2020-12-30,20.05,19.25,18.74,18.68,19.39,21.11,22.18,23.6,24.36,24.92,24.37,25.02,26.61,26.33,26.91,28.11,29.46,30.05,28.26,25.46,24.05,23.65,22.69,20.51
2020-12-31,21.82,21.13,20.84,20.73,21.8,23.37,23.85,24.11,24.98,25.32,25.22,25.67,26.56,27.11,28.27,33.01,45.26,45.12,37.21,27.28,25.39,25.08,24.82,24.04
2021-01-01,24.74,24.28,23.9,23.61,23.66,24.06,24.43,24.9,24.91,25.25,25.92,26.4,27.0,27.3,28.06,29.44,34.34,39.82,34.58,30.54,28.7,28.29,27.02,25.71
2021-01-02,42.51,40.98,40.93,40.02,40.64,46.6,55.78,88.36,174.92,140.05,96.87,72.21,72.33,62.63,68.82,72.04,78.47,149.26,110.01,72.28,63.07,56.23,55.21,49.38
